date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov 12, 2023 12:17:06 AM PST",19016078031,Order,111-9605864-0949040,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a",1,amazon.com,Amazon,CLEARWATER,FL,33756-5421,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-4.54,0,0,9.06
"Nov 13, 2023 12:22:27 AM PST",19016078031,Order,113-2255153-4310631,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,PONTE VEDRA BEACH,FL,32082-1813,MarketplaceFacilitator,16.99,0,0,0,0,0,0,0,0,0,0,-2.96,-5.7,0,0,8.33
"Nov 13, 2023 4:40:17 AM PST",19016078031,Adjustment,114-1513303-1558615,PT0001-USA,FBA Inventory Reimbursement - Customer Service Issue,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,9.05
"Nov 13, 2023 5:06:03 AM PST",19016078031,FBA Inventory Fee,23091118J7,,FBA Removal Order: Return Fee,,Amazon.com,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4,-4.4
"Nov 13, 2023 5:06:07 AM PST",19016078031,FBA Inventory Fee,23091118J7,,FBA Removal Order: Return Fee,,Amazon.com,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.95,-4.95
"Nov 13, 2023 5:06:51 AM PST",19016078031,FBA Inventory Fee,23091118J7,,FBA Removal Order: Return Fee,,Amazon.com,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46,-1.46
"Nov 14, 2023 12:52:17 AM PST",19016078031,Order,112-7724285-8264265,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,ALAMEDA,CA,94501-1710,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 14, 2023 3:46:55 PM PST",19110008641,Order,112-4097389-0307410,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,COOS BAY,OR,97420-8710,,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 15, 2023 2:10:42 AM PST",19110008641,Order,114-5780866-1283436,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,Phoenix,Arizona,85050,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 15, 2023 9:34:33 AM PST",19110008641,Order,111-1042074-2824252,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a",1,amazon.com,Amazon,HAZLET,NJ,07730-2706,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-4.54,0,0,9.06
